Reporting Economy,Product/Sector,Partner Economy,2013,2014,2015,2016,2017,2018,2019
Albania,MT2 - 02 - Dairy products,Viet Nam,,,,,414,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",World,97132551,114874291,89555265,100529495,109162322,134164904,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Algeria,,215,20,1598,28749,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Antigua and Barbuda,9693,1605,,47,25102,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Argentina,748705,428901,846394,807451,961396,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Armenia,906,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Australia,26984,14702,5407,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Austria,125902,88678,195007,110774,92745,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Azerbaijan,,,,6709,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Belgium,606863,688207,495338,517973,802420,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Belize,,,,,365,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Benin,,,533,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants","Bolivia, Plurinational State of",1617,1508,2217,8406,32667,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Bosnia and Herzegovina,481188,407359,119905,89100,109515,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Brazil,10578,5416,35151,45034,42802,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Bulgaria,1910064,1632809,1421627,995836,1828137,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Burkina Faso,,,960,5,918,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Canada,326982,537233,255706,118599,200997,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Central African Republic,18801,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Chile,21756,5389,30022,26670,44343,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",China,1354119,1379665,1312077,1155970,1048451,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Colombia,167155,70177,96514,2144425,2536304,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Costa Rica,234796,594954,321847,209461,403727,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Côte d'Ivoire,,,1585,5665,5787,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Croatia,326120,964121,790249,549709,500984,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Cyprus,,512,5215,39442,32575,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Czech Republic,6506,11284,49399,60978,88191,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Denmark,15764,45527,5969,42066,24402,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Dominican Republic,,,93830,58868,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Ecuador,14087036,12751739,12026569,13263422,13947975,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Egypt,2835372,2936308,728066,540555,2021169,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Estonia,,,,,57,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Eswatini,4426,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Ethiopia,661,143156,3560,3985,4095,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Fiji,,,199,296,299,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",France,559755,675779,520986,520902,647064,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Georgia,18664,24249,1822,45408,93,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Germany,1735555,1831026,1274300,2090198,2037502,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Greece,34044951,39362932,28511847,34445390,35100204,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Guatemala,1397586,206832,2472,72455,496205,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Guinea,289,438,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Holy See,,,1585,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Honduras,498062,333898,305,194,105176,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Hungary,122036,121146,157553,381922,303163,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Iceland,443,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",India,92960,231338,106531,189533,150091,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Indonesia,,16339,10176,36851,44353,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Iran,336123,322109,417743,290966,186544,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Ireland,14031,39796,24310,12597,40280,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Israel,17,,3781,4602,6895,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Italy,17504920,21245754,19948477,18346485,18899779,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Japan,,7765,14725,6389,3427,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Jordan,,38,305,,2421,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Kazakhstan,0,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Kenya,18862,113840,122479,185672,144521,,
Albania,"MT2 - 03 - Fruits, vegetables, plants","Korea, Republic of",,,12,16,2473,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Kyrgyz Republic,353001,209431,18139,63618,306906,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Latvia,1203,7738,441,1552,5646,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Lebanese Republic,,,,,2491,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Liberia,,,,273,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Lithuania,,,3,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Madagascar,111045,,1604,42,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Malaysia,,1032,75,,8479,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Mauritania,,,,,706,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Mauritius,,,221,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Mexico,155018,6315142,2901690,1894212,1771691,,
Albania,"MT2 - 03 - Fruits, vegetables, plants","Moldova, Republic of",104268,67640,114439,67230,230809,,
