Reporting Economy,Product/Sector,Partner Economy,2013,2014,2015,2016,2017,2018,2019
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Jordan,,,,367,,,129866
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Kenya,1033063,1647798,1614748,1511464,1406192,1246994,1274195
Colombia,"MT2 - 03 - Fruits, vegetables, plants","Korea, Republic of",42713,68854,46046,180999,172533,122857,241233
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Lebanese Republic,74258,64827,41341,72538,78220,40573,45078
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Madagascar,,1208,,,,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Malaysia,35553,32453,34428,15443,14545,618,47858
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Mexico,12070597,17596312,15530223,17282099,13962497,18158907,11243999
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Morocco,445101,750351,381730,353195,288297,612566,433435
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Netherlands,17827230,19788412,17455580,18263644,22042157,26555362,29852456
Colombia,"MT2 - 03 - Fruits, vegetables, plants",New Zealand,30298,1273,,,,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Nicaragua,1215411,,,,32382,336546,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Nigeria,,,43153,83499,29996,66175,33779
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Norway,,,,3561,,26747,10552
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Pakistan,1459,,,69646,4,1335,4020
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Panama,2631,,563,,,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Paraguay,,16423,,,13793,28907,27184
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Peru,35382085,38816790,37697369,40905513,29319409,38812924,39880868
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Philippines,1010339,1088417,1011872,936426,1714257,1454117,1316818
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Poland,,4875,473750,768895,853334,1260154,1334339
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Portugal,2558,154016,1430702,569364,1068352,1360312,2536432
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Romania,2714,25328,,,19301,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Russian Federation,,6447,,,,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Saint Kitts and Nevis,,225,,,,15,
Colombia,"MT2 - 03 - Fruits, vegetables, plants","Saudi Arabia, Kingdom of",7350,,,,,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Senegal,,,,,,,60563
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Singapore,43293,120802,1540,22582,9472,63336,13006
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Slovak Republic,,,,,75729,58313,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Slovenia,2626,,2430,4726,,3056,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Solomon Islands,,,,,,72486,51084
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Somalia,,,13762,,,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",South Africa,47507,107539,70247,282897,432288,507269,202479
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Spain,7927778,13568325,11228794,14338389,14345222,13907617,18605437
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Sri Lanka,17185,395491,157033,764448,702473,1113424,366337
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Sudan,198083,118609,170351,289192,155681,158156,138065
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Sweden,,,,,,,380
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Switzerland,176819,279082,421720,133404,272250,233979,247486
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Chinese Taipei,128938,309862,79534,19607,75592,94426,156896
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Thailand,2017954,2094010,2484186,4004395,5437303,6755903,6381380
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Trinidad and Tobago,,,,67,453,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Tunisia,7178,5187,,,,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Turkey,814425,857618,773170,650471,776652,918838,829465
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Ukraine,5559,1105,,,,,1631
Colombia,"MT2 - 03 - Fruits, vegetables, plants",United Arab Emirates,,,10935,,,,8125
Colombia,"MT2 - 03 - Fruits, vegetables, plants",United Kingdom,61915,129783,103801,82793,145090,285595,151565
Colombia,"MT2 - 03 - Fruits, vegetables, plants",United States of America,109793739,134988727,122970649,109372442,126816604,109464536,109025652
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Uruguay,,,,154399,74514,50775,
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Uzbekistan,195957,41761,31178,,,,
Colombia,"MT2 - 03 - Fruits, vegetables, plants","Venezuela, Bolivarian Republic of",1247955,1182161,603509,288382,673415,731257,404894
Colombia,"MT2 - 03 - Fruits, vegetables, plants",Viet Nam,165466,473506,631139,500181,448370,802067,1005446
Colombia,"MT2 - 04 - Coffee, tea",World,151947909,157718797,124448759,125413745,109765602,,
Colombia,"MT2 - 04 - Coffee, tea",Argentina,2531967,2516135,3219132,4363110,3916051,,
Colombia,"MT2 - 04 - Coffee, tea",Australia,,,,1301,1950,,
Colombia,"MT2 - 04 - Coffee, tea",Austria,6940,23456,15119,19263,8098,,
Colombia,"MT2 - 04 - Coffee, tea",Belgium,502058,922635,827245,673310,841040,,
Colombia,"MT2 - 04 - Coffee, tea","Bolivia, Plurinational State of",13757,11678,,9232,1087,,
Colombia,"MT2 - 04 - Coffee, tea",Brazil,14834839,20241158,9405076,10988044,7275252,,
Colombia,"MT2 - 04 - Coffee, tea",Canada,154791,248342,2209383,638350,458069,,
Colombia,"MT2 - 04 - Coffee, tea",Chile,6395075,8417662,4868524,4503241,5369376,,
Colombia,"MT2 - 04 - Coffee, tea",China,6519541,7935021,6169132,6390881,4206355,,
Colombia,"MT2 - 04 - Coffee, tea",Costa Rica,101418,185030,355917,453018,409510,,
Colombia,"MT2 - 04 - Coffee, tea",Côte d'Ivoire,,,,86053,21,,
Colombia,"MT2 - 04 - Coffee, tea",Czech Republic,,18141,2790,,71041,,
Colombia,"MT2 - 04 - Coffee, tea",Denmark,9188,7239,37112,,45750,,
Colombia,"MT2 - 04 - Coffee, tea",Dominican Republic,373839,714774,21359,33005,34063,,
Colombia,"MT2 - 04 - Coffee, tea",Ecuador,31742514,36588460,28891884,21046665,14370042,,
Colombia,"MT2 - 04 - Coffee, tea",Egypt,,,,,2452,,
Colombia,"MT2 - 04 - Coffee, tea",El Salvador,79874,,,,,,
Colombia,"MT2 - 04 - Coffee, tea",Finland,,,,,43,,
Colombia,"MT2 - 04 - Coffee, tea",France,503851,1099851,887961,820734,576063,,
Colombia,"MT2 - 04 - Coffee, tea",Germany,608809,1563964,2219336,1306539,2180504,,
Colombia,"MT2 - 04 - Coffee, tea",Ghana,,,,85944,,,
Colombia,"MT2 - 04 - Coffee, tea",Guatemala,,,,13686,,,
Colombia,"MT2 - 04 - Coffee, tea",Honduras,,,,,2744715,,
Colombia,"MT2 - 04 - Coffee, tea",Hungary,,15129,756,,,,
Colombia,"MT2 - 04 - Coffee, tea",India,56999,,151929,145754,194864,,
Colombia,"MT2 - 04 - Coffee, tea",Indonesia,37515,55387,160051,28588,53570,,
Colombia,"MT2 - 04 - Coffee, tea",Iran,526155,,62148,,,,
Colombia,"MT2 - 04 - Coffee, tea",Ireland,428757,818539,749060,853512,372952,,
Colombia,"MT2 - 04 - Coffee, tea",Israel,,,265,,,,
Colombia,"MT2 - 04 - Coffee, tea",Italy,3695449,4690953,4519933,2631140,3300543,,
Colombia,"MT2 - 04 - Coffee, tea",Japan,30148,5272,16308,45164,56440,,
Colombia,"MT2 - 04 - Coffee, tea",Jordan,,,,,352,,
Colombia,"MT2 - 04 - Coffee, tea",Kenya,,17224,,135528,72486,,
Colombia,"MT2 - 04 - Coffee, tea","Korea, Republic of",13476,1443,837,577,6858,,
Colombia,"MT2 - 04 - Coffee, tea",Lebanese Republic,4443,5893,4334,5395,1484,,
Colombia,"MT2 - 04 - Coffee, tea",Malaysia,3635975,7679810,10618433,11795524,7079360,,
Colombia,"MT2 - 04 - Coffee, tea",Mexico,5788319,5443602,5211604,5270910,5743543,,
Colombia,"MT2 - 04 - Coffee, tea",Netherlands,65300,250784,259828,169835,185808,,
Colombia,"MT2 - 04 - Coffee, tea",Nigeria,105977,,,,,,
Colombia,"MT2 - 04 - Coffee, tea",Pakistan,,46535,,22109,21933,,
Colombia,"MT2 - 04 - Coffee, tea",Panama,231750,,50206,,,,
Colombia,"MT2 - 04 - Coffee, tea",Peru,36644072,19319353,9953039,18816518,21564293,,
Colombia,"MT2 - 04 - Coffee, tea",Philippines,,,486,34,,,
Colombia,"MT2 - 04 - Coffee, tea",Poland,134056,180469,220643,266703,459819,,
Colombia,"MT2 - 04 - Coffee, tea",Portugal,,87440,,27575,33639,,
Colombia,"MT2 - 04 - Coffee, tea","Saudi Arabia, Kingdom of",150356,,,,,,
Colombia,"MT2 - 04 - Coffee, tea",Serbia,,,37628,,61855,,
Colombia,"MT2 - 04 - Coffee, tea",Spain,2067799,2379231,2792166,2543370,3256928,,
Colombia,"MT2 - 04 - Coffee, tea",Sri Lanka,17458,47015,32136,18552,12643,,
Colombia,"MT2 - 04 - Coffee, tea",Sweden,,,,390,,,
Colombia,"MT2 - 04 - Coffee, tea",Switzerland,1938626,1756864,2277082,1655174,1741487,,
Colombia,"MT2 - 04 - Coffee, tea",Chinese Taipei,2143,15241,3236,7097,40218,,
Colombia,"MT2 - 04 - Coffee, tea",Thailand,,184692,576,443,420,,
Colombia,"MT2 - 04 - Coffee, tea",Trinidad and Tobago,679638,599338,,,,,
Colombia,"MT2 - 04 - Coffee, tea",Turkey,1464148,1430720,1070439,1169404,1185912,,
Colombia,"MT2 - 04 - Coffee, tea",United Arab Emirates,34476,25245,39501,21290,23780,,
Colombia,"MT2 - 04 - Coffee, tea",United Kingdom,433074,944779,1199493,1242414,1939307,,
Colombia,"MT2 - 04 - Coffee, tea",United States of America,28795719,29225823,24212848,26706677,19330713,,
Colombia,"MT2 - 04 - Coffee, tea",Uruguay,,,14670,,,,
Colombia,"MT2 - 04 - Coffee, tea","Venezuela, Bolivarian Republic of",575045,1997457,1628458,369706,512915,,
Colombia,"MT2 - 04 - Coffee, tea",Viet Nam,12576,1013,30422,31988,,,
Comoros,MT2 - 01 - Animal products,World,,15126051,15270927,14562262,,,
Comoros,MT2 - 01 - Animal products,Argentina,,3016745,3299001,645158,,,
Comoros,MT2 - 01 - Animal products,Australia,,,27435,,,,
Comoros,MT2 - 01 - Animal products,Austria,,,,470107,,,
Comoros,MT2 - 01 - Animal products,Belgium,,203962,173902,311502,,,
Comoros,MT2 - 01 - Animal products,Brazil,,192618,32552,103275,,,
Comoros,MT2 - 01 - Animal products,China,,84015,,,,,
Comoros,MT2 - 01 - Animal products,Denmark,,172807,,47413,,,
Comoros,MT2 - 01 - Animal products,Egypt,,,31844,,,,
Comoros,MT2 - 01 - Animal products,Ethiopia,,,,120303,,,
Comoros,MT2 - 01 - Animal products,Finland,,,32777,,,,
Comoros,MT2 - 01 - Animal products,France,,7625272,8629365,8839598,,,
Comoros,MT2 - 01 - Animal products,Germany,,856527,296963,184733,,,
Comoros,MT2 - 01 - Animal products,Greece,,,,30305,,,
Comoros,MT2 - 01 - Animal products,India,,2233757,1251262,1398803,,,
Comoros,MT2 - 01 - Animal products,Indonesia,,,,25089,,,
Comoros,MT2 - 01 - Animal products,Ireland,,,41603,,,,
Comoros,MT2 - 01 - Animal products,Italy,,,,72688,,,
Comoros,MT2 - 01 - Animal products,Kenya,,257,,,,,
Comoros,MT2 - 01 - Animal products,Madagascar,,12886,16106,28881,,,
Comoros,MT2 - 01 - Animal products,Mauritius,,75153,,24455,,,
Comoros,MT2 - 01 - Animal products,Netherlands,,,318454,55250,,,
Comoros,MT2 - 01 - Animal products,Paraguay,,,,43682,,,
Comoros,MT2 - 01 - Animal products,Poland,,38353,,98529,,,
Comoros,MT2 - 01 - Animal products,Romania,,,33804,130919,,,
Comoros,MT2 - 01 - Animal products,"Saudi Arabia, Kingdom of",,,139894,10713,,,
Comoros,MT2 - 01 - Animal products,South Africa,,,36434,296050,,,
Comoros,MT2 - 01 - Animal products,Spain,,225846,253464,628688,,,
Comoros,MT2 - 01 - Animal products,Tanzania,,101822,155615,341968,,,
Comoros,MT2 - 01 - Animal products,Thailand,,,,3110,,,
Comoros,MT2 - 01 - Animal products,Togo,,,24758,,,,
Comoros,MT2 - 01 - Animal products,United Arab Emirates,,48504,287357,141000,,,
Comoros,MT2 - 01 - Animal products,United Kingdom,,,,201670,,,
Comoros,MT2 - 01 - Animal products,United States of America,,128597,61522,249865,,,
Comoros,MT2 - 02 - Dairy products,World,,5384347,5284617,4779369,,,
Comoros,MT2 - 02 - Dairy products,Belgium,,48711,63337,79966,,,
Comoros,MT2 - 02 - Dairy products,Bulgaria,,,8387,,,,
Comoros,MT2 - 02 - Dairy products,Cambodia,,,26239,,,,
Comoros,MT2 - 02 - Dairy products,China,,26354,66633,36499,,,
Comoros,MT2 - 02 - Dairy products,Egypt,,21072,,161,,,
Comoros,MT2 - 02 - Dairy products,France,,1233896,1273891,1131094,,,
Comoros,MT2 - 02 - Dairy products,Germany,,355360,329184,352180,,,
Comoros,MT2 - 02 - Dairy products,Honduras,,,,55432,,,
Comoros,MT2 - 02 - Dairy products,"Hong Kong, China",,,17461,,,,
Comoros,MT2 - 02 - Dairy products,India,,98228,,,,,
Comoros,MT2 - 02 - Dairy products,Indonesia,,44652,32145,26221,,,
Comoros,MT2 - 02 - Dairy products,"Kuwait, the State of",,,,1742,,,
Comoros,MT2 - 02 - Dairy products,Malaysia,,,840094,732417,,,
Comoros,MT2 - 02 - Dairy products,Mauritius,,1040499,108869,27330,,,
Comoros,MT2 - 02 - Dairy products,Morocco,,,18029,,,,
Comoros,MT2 - 02 - Dairy products,Netherlands,,,299492,119320,,,
Comoros,MT2 - 02 - Dairy products,New Zealand,,65601,59157,15373,,,
Comoros,MT2 - 02 - Dairy products,Oman,,23987,,,,,
Comoros,MT2 - 02 - Dairy products,Pakistan,,39184,94056,,,,
Comoros,MT2 - 02 - Dairy products,"Saudi Arabia, Kingdom of",,331,,17509,,,
Comoros,MT2 - 02 - Dairy products,Singapore,,164048,124246,315903,,,
Comoros,MT2 - 02 - Dairy products,South Africa,,466324,549755,546269,,,
Comoros,MT2 - 02 - Dairy products,Spain,,,32701,22935,,,
Comoros,MT2 - 02 - Dairy products,Switzerland,,46217,,19922,,,
Comoros,MT2 - 02 - Dairy products,Tanzania,,19994,423,3227,,,
Comoros,MT2 - 02 - Dairy products,Thailand,,,26122,45620,,,
Comoros,MT2 - 02 - Dairy products,Tunisia,,20864,30816,,,,
Comoros,MT2 - 02 - Dairy products,United Arab Emirates,,1621525,1257079,1229403,,,
Comoros,MT2 - 02 - Dairy products,Yemen,,26990,26503,846,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",World,,2891308,2574093,2598371,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Argentina,,,,7202,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Bangladesh,,3280,4831,,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Belgium,,1325,,5515,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Brunei Darussalam,,,1728,681,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Bulgaria,,,,64,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",China,,66638,72120,127283,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Cyprus,,,7121,5527,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Egypt,,4283,,16319,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",France,,271659,371928,378683,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",India,,148114,21653,82726,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Indonesia,,,,132,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Italy,,1303,11248,27353,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants","Kuwait, the State of",,,,9859,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Madagascar,,556156,508231,320888,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Malaysia,,,92370,233232,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Mauritius,,209229,7663,22016,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants","Moldova, Republic of",,,,134,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Morocco,,,,21953,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Norway,,,,11055,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Oman,,509303,567522,369412,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Qatar,,4689,,,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants","Saudi Arabia, Kingdom of",,24145,58129,73365,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Singapore,,,,10029,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",South Africa,,100774,34966,120122,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Spain,,,,11016,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Tanzania,,42635,47686,10643,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Thailand,,10623,9746,13813,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Tunisia,,159,,,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",United Arab Emirates,,935472,756474,718629,,,
Comoros,"MT2 - 03 - Fruits, vegetables, plants",Yemen,,1414,664,687,,,
Comoros,"MT2 - 04 - Coffee, tea",World,,468674,263991,415711,,,
Comoros,"MT2 - 04 - Coffee, tea",Australia,,,775,,,,
Comoros,"MT2 - 04 - Coffee, tea",Belgium,,,,106,,,
Comoros,"MT2 - 04 - Coffee, tea",Brazil,,58026,15985,74106,,,
Comoros,"MT2 - 04 - Coffee, tea",Brunei Darussalam,,,50,,,,
Comoros,"MT2 - 04 - Coffee, tea",China,,309,1189,6299,,,
Comoros,"MT2 - 04 - Coffee, tea",Colombia,,977,,,,,
Comoros,"MT2 - 04 - Coffee, tea",France,,108735,117773,86976,,,
Comoros,"MT2 - 04 - Coffee, tea",India,,,,150,,,
Comoros,"MT2 - 04 - Coffee, tea",Indonesia,,,384,723,,,
Comoros,"MT2 - 04 - Coffee, tea","Kuwait, the State of",,,,332,,,
Comoros,"MT2 - 04 - Coffee, tea",Madagascar,,1067,606,764,,,
Comoros,"MT2 - 04 - Coffee, tea",Malaysia,,,,529,,,
Comoros,"MT2 - 04 - Coffee, tea",Mauritius,,19511,,,,,
Comoros,"MT2 - 04 - Coffee, tea",Singapore,,15639,,,,,
Comoros,"MT2 - 04 - Coffee, tea",South Africa,,26902,,15189,,,
Comoros,"MT2 - 04 - Coffee, tea",Spain,,,,617,,,
Comoros,"MT2 - 04 - Coffee, tea",Tanzania,,2573,1425,3257,,,
Comoros,"MT2 - 04 - Coffee, tea",Thailand,,,13,44996,,,
Comoros,"MT2 - 04 - Coffee, tea",Tunisia,,,30731,,,,
Comoros,"MT2 - 04 - Coffee, tea",Turkey,,15583,,33404,,,
Comoros,"MT2 - 04 - Coffee, tea",United Arab Emirates,,175663,93892,109971,,,
Comoros,"MT2 - 04 - Coffee, tea",United States of America,,,,37526,,,
Comoros,"MT2 - 04 - Coffee, tea",Uruguay,,39922,,,,,
Comoros,"MT2 - 04 - Coffee, tea",Yemen,,3768,1170,765,,,
Costa Rica,MT2 - 01 - Animal products,World,85788884,92466891,115882113,152996754,157325682,143720512,
Costa Rica,MT2 - 01 - Animal products,Argentina,76674,81221,71491,102474,21487,110288,
Costa Rica,MT2 - 01 - Animal products,Australia,43903,49824,75161,165925,68594,275105,
Costa Rica,MT2 - 01 - Animal products,Austria,,,,1972,682,,
Costa Rica,MT2 - 01 - Animal products,Bahamas,,469,,,,,
Costa Rica,MT2 - 01 - Animal products,Belgium,,928,,1015,,,
Costa Rica,MT2 - 01 - Animal products,"Bolivia, Plurinational State of",,754,1102,733,2978,1470,
Costa Rica,MT2 - 01 - Animal products,Bosnia and Herzegovina,,,,666,,,
Costa Rica,MT2 - 01 - Animal products,Botswana,,,,,425,,
Costa Rica,MT2 - 01 - Animal products,Brazil,1176,2920,3188,402,5001,9219,
Costa Rica,MT2 - 01 - Animal products,Canada,3811334,4373011,2647040,3519925,3767183,2608078,
Costa Rica,MT2 - 01 - Animal products,Chile,4297787,5636547,14817042,21502533,26760247,16149949,
Costa Rica,MT2 - 01 - Animal products,China,912,,,,3687,24545,
Costa Rica,MT2 - 01 - Animal products,Colombia,3567,6984,23481,10249,15451,22063,
Costa Rica,MT2 - 01 - Animal products,Croatia,1143,,,,,,
Costa Rica,MT2 - 01 - Animal products,Cuba,,,,,,259,
Costa Rica,MT2 - 01 - Animal products,Curaçao,,,931,,,,
Costa Rica,MT2 - 01 - Animal products,Czech Republic,2028,,980,706,2501,4746,
Costa Rica,MT2 - 01 - Animal products,Denmark,452,,,,,,
Costa Rica,MT2 - 01 - Animal products,Dominican Republic,347,812,1072,741,562,1214,
Costa Rica,MT2 - 01 - Animal products,Ecuador,1197,1981,2898,4045,886,845,
Costa Rica,MT2 - 01 - Animal products,El Salvador,2456,2643,31799,2587,530,3556,
Costa Rica,MT2 - 01 - Animal products,France,43425,44687,169117,1488,10505,7172,
Costa Rica,MT2 - 01 - Animal products,Germany,21273,304,5327,478,240,5,
Costa Rica,MT2 - 01 - Animal products,Guatemala,3214482,5417413,7012691,4974010,8375346,8799534,
Costa Rica,MT2 - 01 - Animal products,Honduras,738963,1696,5237,32283,25594,2909,
Costa Rica,MT2 - 01 - Animal products,Hungary,502,,,468,,1559,
Costa Rica,MT2 - 01 - Animal products,India,,,502,,,,
Costa Rica,MT2 - 01 - Animal products,Indonesia,,,,,,161,
Costa Rica,MT2 - 01 - Animal products,Ireland,1456,,,,,,
Costa Rica,MT2 - 01 - Animal products,Israel,,,,946,,2453,
Costa Rica,MT2 - 01 - Animal products,Italy,,71385,99466,54780,153001,168121,
Costa Rica,MT2 - 01 - Animal products,Jordan,,,,,1975,,
Costa Rica,MT2 - 01 - Animal products,"Korea, Republic of",,533,,,,,
Costa Rica,MT2 - 01 - Animal products,Malawi,,,1557,,,,
Costa Rica,MT2 - 01 - Animal products,Mexico,11959,40103,988084,1976300,113559,256720,
Costa Rica,MT2 - 01 - Animal products,Netherlands,62948,56365,129158,106780,215318,161438,
Costa Rica,MT2 - 01 - Animal products,New Zealand,824,67002,63887,110599,10731,45555,
Costa Rica,MT2 - 01 - Animal products,Nicaragua,22789402,24573692,25473348,42705219,37256200,31006465,
Costa Rica,MT2 - 01 - Animal products,Norway,1617,,,,,,
Costa Rica,MT2 - 01 - Animal products,Panama,2449782,1759617,4283169,236143,30010,80915,
Costa Rica,MT2 - 01 - Animal products,Paraguay,,,,,639,,
Costa Rica,MT2 - 01 - Animal products,Peru,3027,607,2620,1039,3325,2234,
Costa Rica,MT2 - 01 - Animal products,Philippines,,365,,,,2785,
Costa Rica,MT2 - 01 - Animal products,Poland,,285,,,,,
Costa Rica,MT2 - 01 - Animal products,Portugal,2865,,125,,39,29,
Costa Rica,MT2 - 01 - Animal products,Russian Federation,,,,,,876,
Costa Rica,MT2 - 01 - Animal products,Senegal,,450,,,,,
Costa Rica,MT2 - 01 - Animal products,Slovak Republic,291,,2970,,,,
Costa Rica,MT2 - 01 - Animal products,South Africa,,,994,,,4864,
Costa Rica,MT2 - 01 - Animal products,Spain,930062,933034,1053927,1157487,1851089,1644709,
Costa Rica,MT2 - 01 - Animal products,Switzerland,1205,324,,,,628,
Costa Rica,MT2 - 01 - Animal products,Chinese Taipei,,1147,,,1918,,
Costa Rica,MT2 - 01 - Animal products,Thailand,,70,,,768,2701,
Costa Rica,MT2 - 01 - Animal products,Trinidad and Tobago,179,,,726,,,
Costa Rica,MT2 - 01 - Animal products,Ukraine,,,,,,2996,
Costa Rica,MT2 - 01 - Animal products,United Kingdom,1865,9435,713,2977,5755,9645,
Costa Rica,MT2 - 01 - Animal products,United States of America,47223196,49089238,58326816,76209249,78562984,82273756,
Costa Rica,MT2 - 01 - Animal products,Uruguay,1913,2712,921,1275,,885,
Costa Rica,MT2 - 01 - Animal products,Vanuatu,,,,1705,,,
Costa Rica,MT2 - 01 - Animal products,"Venezuela, Bolivarian Republic of",5737,17671,20106,16734,23586,12150,
Costa Rica,MT2 - 01 - Animal products,Viet Nam,,1032,,,,,
Costa Rica,MT2 - 02 - Dairy products,World,35320631,40828280,43483543,47100649,50504820,55479342,
Costa Rica,MT2 - 02 - Dairy products,Argentina,,,304,,,146,
Costa Rica,MT2 - 02 - Dairy products,Australia,272367,33260,23010,22095,25129,11467,
Costa Rica,MT2 - 02 - Dairy products,Belgium,,69423,79739,40554,179724,131625,
Costa Rica,MT2 - 02 - Dairy products,Benin,1353,,,,,,
Costa Rica,MT2 - 02 - Dairy products,Brazil,65,201,,132,,,
Costa Rica,MT2 - 02 - Dairy products,Canada,327290,642088,421808,322394,307958,309340,
Costa Rica,MT2 - 02 - Dairy products,Chile,7558314,7923957,8130157,6319290,8143902,7358085,
Costa Rica,MT2 - 02 - Dairy products,China,,10676,12163,,2938,329,
Costa Rica,MT2 - 02 - Dairy products,Colombia,5,25,131468,89016,683564,324306,
Costa Rica,MT2 - 02 - Dairy products,Czech Republic,386214,309406,297207,201960,87550,81705,
Costa Rica,MT2 - 02 - Dairy products,Denmark,406859,435872,436182,486578,539408,482058,
Costa Rica,MT2 - 02 - Dairy products,Dominican Republic,,,,,,325,
Costa Rica,MT2 - 02 - Dairy products,Ecuador,,,,39,,,
Costa Rica,MT2 - 02 - Dairy products,El Salvador,301239,515843,290863,2445159,3299591,4067004,
Costa Rica,MT2 - 02 - Dairy products,Estonia,26,68717,,,,,
Costa Rica,MT2 - 02 - Dairy products,France,144833,372208,181336,263267,287308,197001,
Costa Rica,MT2 - 02 - Dairy products,Germany,3664,25241,4546,344272,236201,632153,
Costa Rica,MT2 - 02 - Dairy products,Greece,,,,,76,97,
Costa Rica,MT2 - 02 - Dairy products,Guatemala,23043,3008,2452,,13786,15380,
Costa Rica,MT2 - 02 - Dairy products,Honduras,31,,,720,92,,
Costa Rica,MT2 - 02 - Dairy products,Ireland,91089,,,,59550,102878,
Costa Rica,MT2 - 02 - Dairy products,Italy,160901,323070,367096,515997,668383,806603,
Costa Rica,MT2 - 02 - Dairy products,Jamaica,,11,,,,,
Costa Rica,MT2 - 02 - Dairy products,Lithuania,95,58,,266985,222759,286897,
Costa Rica,MT2 - 02 - Dairy products,Malaysia,16474,53784,73397,129572,60423,,
Costa Rica,MT2 - 02 - Dairy products,Mexico,232283,354630,507456,498120,599408,709268,
Costa Rica,MT2 - 02 - Dairy products,Netherlands,873449,1194855,1360226,1019209,1768249,1927808,
Costa Rica,MT2 - 02 - Dairy products,New Zealand,501442,1136508,4129918,5534864,5473926,6273738,
Costa Rica,MT2 - 02 - Dairy products,Nicaragua,4314639,3980027,4670075,4453193,4336028,3144096,
Costa Rica,MT2 - 02 - Dairy products,Panama,8569185,9035067,8257068,8964842,7673602,6746315,
Costa Rica,MT2 - 02 - Dairy products,Philippines,,,,81,,,
Costa Rica,MT2 - 02 - Dairy products,Poland,74973,,,,,,
Costa Rica,MT2 - 02 - Dairy products,Spain,200262,279019,374129,229264,501915,1076616,
